Country,iso3,X,Y,published,sources,info,optional1,optional2,optional3,ObjectId
Abyei,"SDN, SSD",28.415755,9.786952,,,,,,,145
Afghanistan,AFG,66.026881,33.831602,29.01.2021,"Foreign travel advice, Gov.UK/ 
  US State Dept. COVID-19 Country Specific Information/
  Ministry of Public Health/","Latest News: Flights between Afghanistan and Tajikistan resume as epidemiological situation improves 
 
  
International Restrictions:
*Entry to Afghanistan: There remains some uncertainty as to whether visitors require a COVID-19 negative test result and certificate to enter Afghanistan. Travellers are advised to check with their travel provider and follow individual airline requirements on this. However, due to the security situation advice set against all travel to most of the country and against all but essential travel to the Enhanced Security Area in Kabul, Hamid Karzai International Airport, Panjshir province and Bamian City in Bamian province. 
*Testing on arrival: There is currently no testing on arrival. 
*Quarantine requirements: There are currently no compulsory quarantine requirements or temperature checks at the airports. 
*Data collection: Visitors will be asked to complete a landing form detailing their visit, including passport and visa information, as is standard practice in many other countries. 
*Testing on departure: Many airlines currently require passengers to present a COVID-19 negative certificate in order to travel out of Afghanistan. Please note some airline pre-departure test timings  for Afghanistan departures/arrivals may be different to country of destination . Contact your airline or travel provider for details of local test centres and procedures.  
  
Internal Restrictions: 
*Travel in Afghanistan: Travel in Afghanistan is dangerous and if youre travelling, including in Kabul, you should seek professional security advice and continually reassess your personal security. There are only minor COVID-19 related restrictions on internal travel. Specific measures vary between provinces and domestic flights are operating on a limited basis. 
*Accommodation: Most hotels and restaurants are open and have been instructed to follow COVID-19 guidelines, including asking customers to wear masks. 
*Public places and services: Sports and music events, along with bars, cinemas, museums and gyms are all closed. Restaurants and some shops have opened.",20210129,"No declared requirements.

There are currently no compulsory quarantine requirements or temperature checks at the airports.                                                                                                                                                                                                                                                              ","COVID-19 negative certification not required / not known.

There remains some uncertainty as to whether visitors require a COVID-19 negative test result and certificate to enter Afghanistan. Many airlines however do require pre-COVID testing before boarding. Travellers are advised to check with their travel provider and follow individual airline requirements on this.",146
Akrotiri,xUK,32.923365,34.638024,,,,,,,147
Aksai Chin,"AKS, CHN",79.132432,35.030488,,,,,,,148
√Öland Islands,ALA,19.80946,60.15449,,,,,,,149
Albania,ALB,20.066643,41.138926,12.04.2021,"Foreign travel advice, Gov.UK/ 
  US State Dept. COVID-19 Country Specific Information/ 
  OSAC Travel Advisories/
 Institute of Public Health/","Latest news: Albanian government allows resumption of flights between Albania and the UK from 12 April  . Tirana International Airport expected to resume for commercial flights on 9 April . 


International Restrictions:
*Entry rules in response to coronavirus : All land borders are open. However, neighbouring countries may have different entry and exit restrictions on their side of the border. You should check before travelling. Keep up to date with information from your tour operator, transport or accommodation provider on the impact on any existing travel plans. If you need further information about entry requirements, contact the local immigration authorities or the nearest Albanian Embassy/Consulate. You should also check with your airline or travel company for the latest information.
 
 
Internal Restrictions:
*Moving around in Albania: If youre in Albania, you should adhere to instructions and follow the advice of the local authorities. The wearing of face masks in public is mandatory. With effect from 12 April, a night time curfew from 10pm to 6am will be in place. Other than the night-time curfew, there are currently no restrictions on movement within Albania. Public transport and taxis are operating as normal. Elementary and high schools in several cities with the highest concentration of Coronavirus cases  will conduct online classes until further notice. 
*Public places and businesses: From 12 April, bars and restaurants must close by 10pm as per the curfew. However, delivery services remain available. ",20210412,"Self Isolation- subject to origin.

There will be a mandatory 14-day quarantine  for all travelers who enter Albania by air, land, or sea who initiated their travel from Great Britain.",COVID-19 negative certification not required / not known.,150
Algeria,DZA,2.678028,28.157361,06.04.2021,"Foreign travel advice, Gov.UK/ 
  US State Dept. COVID-19 Country Specific Information/
 International Press Centre/
WFP Sources.","Latest News: Authorities suspend international flights, close borders, 1-31 March to stem COVID-19 spread . Interprovincial transportation resumes . 
  
  
 International Restrictions: 
*Entry to Algeria: Air, land and sea borders remain closed until further notice. You should check with the Algerian authorities for any entry requirements including exemptions. Previously, entry was limited to:
*        Algerian nationals returning on repatriation flights from abroad
*        foreign nationals with diplomatic visas
*        employees of foreign companies operating in Algeria
There was a process set out by the Algerian Ministry of Foreign Affairs relating to requests for authorisation to enter Algeria. If you think youre eligible to enter Algeria despite all borders being closed, you will need to contact your employer and/or the British Embassy in Algiers for more information on this process.
*Testing/screening on arrival: You should check with the Algerian authorities for any entry requirements including COVID testing. Previous requirements included evidence of a negative PCR test from no more than 72 hours prior to arrival. You should arrange to take a private test.
Temperature checks may be undertaken on arrival.
*Quarantine requirements: Check with the Algerian authorities for any entry requirements including quarantine requirements. Previous quarantine requirements were a compulsory 14-day stay at a state facility, or own accommodation , or company accommodation .
*Data collection: Contact details are taken on arrival in country, including address.
*Testing on departure: Temperature checks are taken before entering the airport.
*Leaving Algeria: When exiting Algeria, the Algerian authorities usually require sight of the document you used to enter the country. In the event that your passport was lost or stolen during your stay in Algeria, you will need to present a police report to the border police to show why you are no longer in possession of the passport you used to enter Algeria.

Internal Restrictions: 
*Travel in Algeria: Some travel between provinces is now permitted though public transport options remain limited. A curfew is in effect from 11pm to 4am in 9 provinces including the capital Algiers. The other provinces covered by the curfew are: Batna, Biskra, Blida, Tebessa, Tizi-Ouzou, Jijel, Sidi Bel Abbes, and Oran. Since 1 July 2020, local authorities nationwide have powers to enact additional measures in cluster areas, with the approval of central authorities. As a result, localised lockdowns are possible, and markets and other areas with a high concentration of shops could be shut down with limited notice for at least 15 days. All security services and local authorities have been instructed to rigorously monitor and enforce compliance with preventive and other social distancing measures. Penalties include fines, and 6 months imprisonment. The wearing of facemasks became mandatory on 24 May 2020 in all public spaces, including when using public transport, and within taxis. 
*Accommodation: Some hotels are open, with compulsory sanitary measures in place; facilities may be restricted. There are designated hotels for repatriated Algerians to do the required 14 days quarantine on arrival. 
*Public places and services: Mosques, restaurants, parks and cafes were permitted to reopen from 15 August 2020. This is conditional on social distancing and sanitary measures being in place. Mask wearing is obligatory and air conditioning and fans are banned. Some entertainment facilities and public spaces, including some parks and beaches, remain closed. Universities began reopening from 23 August 2020 to complete studies from the previous year. The new term began on 15 December 2020. Primary schools opened on 21 October 2020, and middle and high schools reopened on 4 November 2020. There is a nationwide ban on family gatherings of any kind, including marriages and funerals.
",20210406,"Quarantine requirement at government designated site or own accomodation.

Check with the Algerian authorities for any entry requirements including quarantine requirements. Previous quarantine requirements were a compulsory 14-day stay at a state facility, or own accommodation , or company accommodation . 
Diplomatic personnel entering or leaving Algeria are required to present a negative PCR test carried out 72h prior to arrival; and the observation of a period of self-isolation at home for a period subject to the rule of reciprocity ","COVID-19 negative certification required for entering the country.

You should check with the Algerian authorities for any entry requirements including COVID testing. Previous requirements included evidence of a negative PCR test from no more than 72 hours prior to arrival. Temperature checks may be undertaken on arrival.
Diplomatic personnel entering or leaving Algeria are required to present a negative PCR test carried out 72h prior to arrival.",151
American Samoa,ASM,-170.71806,-14.300686,29.07.2020,American Samoa Immigration/,"International Restrictions:
*Travel into American Samoa: To prevent the spread of coronavirus, American Samoa currently requires all non-US passport holders to spend at least 14 days in Hawaii, Samoa  or Tonga before entering. Other restrictions for those travelling from countries affected by the outbreak could also be in force. If youre due to travel, check the American Samoa Government website and the US Center for Disease Control and Prevention website, and check with your airline before leaving. You should also check with your airline or travel agent for any additional information about existing travel bookings.
 
 
Internal Restrictions: 
*Travel within American Samoa: Social distancing methods are to be encouraged such as video conferencing, phone calls, emails for communication. All off-island medical referrals to New Zealand are suspended. The option will be considered only for medical emergencies and be at the discretion of LBJ physicians. All public gatherings are suspended until further notice. This includes, but is not limited to, bingo halls, rallies, political events, theaters, traditional gatherings, parks and recreation areas, flight night gatherings, and major sponsored events. Only private family gatherings of no more than ten  people will be permitted. DPS is tasked with ensuring that public gatherings disperse. All businesses will only be allowed to operate from 6am to 6pm. Only those businesses that impact food security are exempted from operating hours restrictions. Restaurants, bars, and nightclubs will be limited to no more than ten  person occupancy. Businesses are encouraged to keep their facilities sanitized. All drive-thru and takeaway restaurants may remain open until 10:00 pm daily. Further advisories will be issued from the Governor that may adjust restrictions on businesses as necessary. All public transportation services are to cease operations at 6pm except for buses under contract with Starkist to provide transportation for employees of the canneries.During hours of operation, buses and taxis must institute social distancing practices. Each bus and taxi may only operate at half the seating capacity.",20200729,"Quarantine Requirement outside territory. 

Citizens holding a non-US passport will be required to quarantine for 14 days in Hawaii, Tonga, or Samoa  before entering the territory.",COVID-19 negative certification required for entering the country,152
Andorra,AND,1.576279,42.545479,31.12.2020,"Foreign travel advice, Gov.UK/ 
  US State Dept. COVID-19 Country Specific Information/","International Restrictions: 
*Entry rules in response to coronavirus : All travel into Andorra requires transit via neighbouring France or Spain. You should check the entry requirements for each country in conjunction with this travel advice. The Andorran Government advises that people returning to Andorra from the United Kingdom must, in addition, follow the COVID related safety measures outlined below until further notice. 
Those looking to travel to Andorra must obtain a negative PCR or TMA test with result performed within a maximum of 48 hours before departure. Upon arrival in Andorra those arriving from the UK must arrange for a TMA + Rapid Antigen Test. Until the negative result of the first TMA is available, the person must remain in home isolation. Further TMA tests must be carried out on the 5th, 10th and 15th days following arrival. In addition rapid antigen tests must be taken on days 2, 4, 6, 8, 10, 12 and 14 following arrival. All those arriving in Andorra are advised by Andorran authorities to take extreme preventive measures  and minimize social interactions.
All those arriving from the UK will be required to provide their name and surnames, passport or census number, telephone number, city or region of origin in the United Kingdom, date of arrival in Andorra and date of return  to the United Kingdom to the Andorran authorities. People returning from the United Kingdom must not enter the Principality of Andorra by public transport. 
*International travel: In order to travel from Andorra via France, where travel restrictions are in place from 9pm until 6am, you must complete a travel certificate online. You can find further details, including the limited exceptions to curfew in France on the French government website. In order to travel from Andorra via Spain, where travel restrictions in the Region of Catalonia are in place from 10pm until 6am, you will need to complete a travel certificate online. You can find further details, including the limited exceptions to curfew in the Spanish Region of Catalonia, online. Before travelling to France or Spain from Andorra, you should consult the web pages of the relevant Andorran, Spanish or French authorities.


Internal Restrictions: 
*Travel in Andorra: On 22 September the Andorran authorities published a new set of restrictions including mandatory use of masks in public and social distancing of 1.5m unless specific protocols are in place. Only groups of up to five people are able to meet, including in private spaces. Limits to capacity are in place in shops, restaurants, bars and cafes and you should follow the instructions displayed locally. Similar restrictions are in place in gyms and sports centres. Smoking is not permitted in any public area. You can find more information regarding the measures in place on the Andorran government website .",20201231,Home isolation is required until COVID test results are received.,"COVID-19 negative certification required for entering the country.

Those looking to travel to Andorra must obtain a negative PCR or TMA test with result performed within a maximum of 48 hours before departure. ",153
Angola,AGO,17.577532,-12.337524,19.03.2021,"OSAC Travel Advisories/
  US State Dept. COVID-19 Country Specific Information/ 
  Foreign travel advice, Gov.UK/
  Ministry of Health/","Latest News: 
  
  
International Restrictions: 
*Entry to Angola: There are a number of indirect commercial flights to Angola from the UK operated by TAP Air Portugal , Lufthansa and Air France.
Advance passenger information requirement: All passengers are required to show evidence of a negative COVID-19 test completed 72 hours before entry to Angola.
All passengers are required to complete an Advance Passenger Information form     72 hours before entry to Angola. Several travel documents must be uploaded in PDF format to be accepted before entry to Angola.
*Testing prior to arrival and departure: From 16 January, all air passengers are required to undergo a rapid COVID-19 test immediately on disembarking the plane. This is currently free of charge, which is undertaken in a hangar at the airport, but can take time. Passengers arriving in Angola, should carry water and a refreshment in case there is a long wait.
Those receiving a negative result will be allowed entry and can continue through immigration. You will need to undertake compulsory self-quarantine for 10 days before undergoing a further COVID-19 test. Those receiving a positive COVID-19 result will go immediately into mandatory quarantine at a government facility for observation and further testing. All passengers are required to show evidence of negative COVID-19 test completed 24 hours before departure from Angola.
*Quarantine requirements: All air passengers arriving in Angola will need to undertake compulsory self-quarantine for at least 10 days once tested for COVID-19 on arrival. If you test negative, returning residents can quarantine in their own homes. Non-resident essential workers have to quarantine in a government or government-approved facility. The Angolan authorities will release you from quarantine once you have tested negative for coronavirus. You must spend at least 10 days in quarantine before being tested. 
If you receive a positive COVID-19 test result on arrival in Angola, you will be required to enter mandatory quarantine in a government facility for observation and further testing. On arrival, passengers with short-term and visitor visas can expect to have their passports retained by the Angolan authorities at the Immigration desk. Passports can be recovered at the end of the 10 day quarantine period, on presentation of a negative COVID-19 certificate at the SME Department in the Departures lounge.  


Internal Restrictions: 
*Travel in Angola: Travel in the country is possible, but requires a rapid COVID-19 test. Air passengers can undertake a rapid COVID-19 test at domestic airports. Test documentation will be checked at all provincial borders. Test results are deemed to be valid for 7 days. Passengers travelling for longer than 7 days will need to undertake further tests as necessary, to continue to move around the country. 
The Angolan government has declared a úsituation of public calamityù which imposes a number of restrictions and public health measures to limit the spread of the virus: 
* individuals are encouraged to stay at home and practise social distancing
* face masks are compulsory in all areas outside your home or hotel room, including in private motor vehicles. Fines are imposed for non-compliance
*  restrictions are in place on travel into and out of Luanda province and the neighbouring province of Kwanza Norte
*Accommodation: Hotels and private rentals continue to operate with some restrictions and coronavirus precautionary measures in place. You should contact your accommodation provider before booking to confirm what restrictions are in place.
*Public places and services: The majority of shops, banks and restaurants continue to operate, with some restrictions  and coronavirus precautionary measures in place.

",20210319,"Quarantine requirement at government designated site. 

All air passengers arriving in Angola will need to undertake compulsory self-quarantine for at least 10 days once tested for COVID-19 on arrival. You must spend at least 10 days in quarantine before being tested. ","COVID-19 negative certification required for entering the country.

Once tested negative for COVID-19 on arrival, returning residents can quarantine in their own homes. Non-resident essential workers have to quarantine in a government or government-approved facility. ",154
Anguilla,AIA,-63.054596,18.214755,14.04.2021,"Foreign travel advice, Gov.UK/ 
  US State Dept. COVID-19 Country Specific Information/","International Restrictions: 
*Entry to Anguilla: Under current regulations, in force until at least 17 April 2021, entry to Anguilla is restricted and must be pre-approved.
If you wish to travel to Anguilla you will need prior approval from the Governments Health Team. You can apply for approval by completing the online form on the Governments COVID-19 website. As part of the approval process you must provide evidence of a negative COVID-19 test taken 3 5 days before the planned date of your arrival. You should arrange to take a private test.
The regular ferry service from Marigot Port  to Blowing Point Ferry Port has been suspended until further notice.
*Testing / screening on arrival: All persons entering Anguilla are subject to testing on arrival.
*Quarantine requirements: With effect 12 April people applying to enter Anguilla either as an individual or with other persons all who must produce evidence that they have been fully vaccinated against COVID-19 and received their final dose 21 days before arrival, will be required to quarantine for 7 days on arrival. A negative COVID-19 test will be required before a person can leave quarantine.
With effect 12 April people applying to enter Anguilla who are travelling as part of a multi-generational family unit or as part of a group that contains a mixture of vaccinated and unvaccinated persons will be required to quarantine for 10 days on arrival. A negative COVID-19 test will be required before a person can leave quarantine.


 Internal Restrictions: *Travel in Anguilla: Currently there are no temporary restrictions on the movement of people and public gatherings due to COVID-19. Further information can be found on the Government of Anguilla COVID-19 website and the Government of Anguilla website. 
 ",20210414,"Quarantine at government designated site or Government approved self-quarantine facility. 

With effect 12 April people applying to enter Anguilla either as an individual or with other persons all who must produce evidence that they have been fully vaccinated against COVID-19 and received their final dose 21 days before arrival, will be required to quarantine for 7 days on arrival. A negative COVID-19 test will be required before a person can leave quarantine.","COVID-19 negative certification required for entering the country.

All persons entering Anguilla are subject to testing on arrival.",155
Antarctica,ATA,21.475857,-80.408977,,,,,,,156
Antigua and Barbuda,ATG,-61.799256,17.077306,15.04.2021,"Foreign travel advice, Gov.UK/ 
  US State Dept. COVID-19 Country Specific Information/
  Government Information page/","International Restrictions:
 *Entry to Antigua and Barbuda: All aircraft must arrive at VC Bird International Airport or the private jet terminal. All Marine Pleasure Craft and Ferry Services entering the waters of Antigua and Barbuda should contact the Antigua Port Authority, using VHF Channel 16, at least six  hours prior to arrival. Instructions will be given to guide the crafts to either the Nevis Street Pier or English Harbour Ports or to a holding area.
 *Testing / screening on arrival: All passengers 12 years and older arriving by air in Antigua and Barbuda, including those transiting the country, must provide evidence of a negative COVID-19 RT-PCR test taken no more than seven days before arrival. Only tests administered by health care professionals are valid. Home tests are not permitted. Further health screening is in place at VC Bird International Airport and the private jet terminal for all international arrivals. The measures are subject to change but may include mandatory temperature, travel history checks, a check on whether your accommodation is on the Government of Antigua and Barbudas Approved List, completion of a Health Declaration Form and further testing for Coronavirus. You should expect long waiting times on arrival. Passengers arriving by sea must provide evidence of a negative COVID-19 RT-PCR test taken no more than seven days before their last point of departure and follow the Government of Antigua and Barbudas Yachting Health and Safety Guidance and Operational Protocols. All Marine Pleasure Craft and Ferry Services entering the waters of Antigua and Barbuda should contact the Antigua Port Authority, using VHF Channel 16, at least six  hours prior to arrival. Instructions will be given to guide the crafts to either the Nevis Street Pier or English Harbour Ports or to a holding area where they must follow the screening and quarantine instructions of Port Health. Visitors instructed by the local authorities to take a Coronavirus test on arrival may be asked to pay a fee of US$ 100 in cash. 
 *Quarantine requirements: On arrival, you will be subject to health screening. The Ministry of Health and Wellness of Antigua and Barbuda advise that all arrivals will be monitored for coronavirus for up to 14 days and that ultimately it is the decision of the Quarantine Authority on who must self-isolate or quarantine on arrival. In practice, tourists arriving from outside the regions útravel bubbleù  with pre-booked hotel accommodation from the Government of Antigua and Barbudas Approved List will normally be permitted to travel to their accommodation after screening and be allowed to move around the country providing they adhere to local social distancing measures. Visitors staying with family, friends, in private accommodation, in their own place of residence, or other location not on the Government of Antigua and Barbudas Approved List will be subject to an interview to determine suitability to leave for their accommodation arrangements and then are normally required to self-isolate for a period up to 14 days. Those not deemed to have suitable accommodation arrangements will be obliged to remain in government quarantine at their expense for between seven and 14 days. The fee is XCD 100 per day. Failure to comply with any order, guideline or direction of the Quarantine Authority is considered an offence carrying a fine of up to XCD 10,000 and/or six months imprisonment. 
 
  
 Internal Restrictions: 
*Travel in Antigua and Barbuda: For information on entering Antigua and Barbuda, see Entry requirements. A State of Emergency is in place until 30 June. Under these measures: 
*        all persons must remain in their accommodation from 11pm to 5am each day unless seeking urgent medical attention
*        face masks must be worn in any public place and must be worn for entry in to any supermarket or market
*        face masks must cover nose and mouth, leave eyes, forehead, and ears visible, and cannot be worn at the same time as head coverings or dark glasses
*        all bars and gyms are closed
*        in-house dining at restaurants is permitted with no more than 25 persons inside the establishment. Small groups of no more than 5 persons are permitted at a table if social distance allows
*        retailers such as food and clothes shops, pharmacies, and hardware stores are allowed to operate
*        public-facing government offices have restricted opening hours and visitors
*        beaches are open between 5am and 6pm for exercise or relaxation only. During these hours picnics, music, drinking alcohol, and parties are prohibited. See Swimming for more information.
*        no more than two people may travel in a motor vehicle at any one time if they are not of the same household. Members of the same household comprising more than two people may travel together in the same vehicle. Face masks must be worn in motor vehicles when there is more than one occupant
*        Only licensed taxis may pick up or drop off passengers at VC Bird International Airport; private vehicles may not pick up or drop off passengers
*        people may undertake exercise in open fields, at the side of roads, and play golf or tennis between 5am and 6pm each day. They may be accompanied by members of their household, or by one other person if they are not of their household. All must observe a distance of six feet and wear face masks.
*        private parties, social events such as banquets, and clubs/societies which host more than one household are permitted provided there are no more than five persons and all must observe a distance of six feet and wear face masks
*        church services may take place with no more than 25 participants providing that they all observe distances of six feet and wear a face mask
*        weddings, funerals, and baptisms may take place with a limit of 25 participants; no celebrations/wakes may be held after the service;
*        residents of Antigua and Barbuda who test positive for COVID-19 will be required to enter government quarantine and wear a quarantine bracelet. Those in their household will be required to undergo testing and may also be required to enter a government quarantine facility and wear a quarantine bracelet.
Failure to comply with the State of Emergency regulations and/or instructions from government health authorities will result in either a fine of up to XCD10,000 and/or six months imprisonment.
The Antigua and Barbuda Emergency Medical Service are asking the public to call the COVID-19 inquiries hotline on  462 6843 if they suspect they might have contracted the virus, been exposed to or any other matters relating to the virus. The public are asked to call the hotline and not visit a healthcare facility unless instructed to.

 





",20210415,"Quarantine requirement at government designated site- subject to official discretion. 
<br
All arrivals will be monitored for coronavirus for up to 14 days and ultimately it is the decision of the Quarantine Authority on who must self-isolate or quarantine on arrival.
","COVID-19 negative certification required for entering the country. 

All passengers 12 years and older arriving by air in Antigua and Barbuda, including those transiting the country, must provide evidence of a negative COVID-19 RT-PCR test taken no more than seven days before arrival. ",157
Argentina,ARG,-63.578123,-31.578414,16.04.2021,"US State Dept. COVID-19 Country Specific Information/ 
  Foreign travel advice, Gov.UK/
  Health Ministry/","Latest News: Government extends nightly stay-home order for Buenos Aires city, province . Government issues nightly stay-home order for Buenos Aires metropolitan area, forbids social gatherings amid COVID-19 concerns .
  
  
International Restrictions: 
*Borders and travel: Argentinas borders are closed to non-resident foreign nationals. Some exceptions apply to this rule. Exemptions may be granted by the Argentine Migrations Office, such as for non-resident essential workers, family members of Argentine nationals or residents and sportspersons. If you believe you might fall into one of these categories, you must contact the Argentine Migrations Office  to seek approval for you trip.
All travellers who are authorised to enter Argentina must comply with the requirements set out below.
All travellers to Argentina  must fill in an electronicsworn statement form within 48 hours of travelling. 
All travellers to Argentina  must present a negative COVID-19 PCR test taken within 72 hours of travelling, unless you are: a crew member, transiting the country through an international airport for less than 24 hours; or have had coronavirus confirmed by a lab test within 90 days of your trip. If you have had coronavirus confirmed by a lab test within 90 days of your trip you dont need to take a COVID-19 PCR test again. Instead, you will need to show evidence of your diagnosis and a medical certificate issued at least 10 days after being diagnosed, confirming that you have a clean bill of health.
If, for justified reasons, you cannot take a COVID-19 test before travelling, you must present a medical certificate issued within 72 hours of travelling confirming that you do not have COVID-19 related symptoms and you must take a PCR test upon arrival. If this applies to you, check in advance with your airline to ensure you will be allowed to board the aircraft. 
From 27 March, all travellers to Argentina must take a COVID-19 test on arrival. If the test is negative you must self-isolate for 7 days in the place youre staying. You will have to take a further test on the 7th day of your self-isolation. You must pay for all tests. If the test is positive you will have to take a second test to determine the strain youre carrying and you and your close contacts will have to enter managed isolation. You will have to pay for all tests as well as for your stay at the managed quarantine facility. 
All non-resident foreign nationals with authorisation from the Argentine Migrations Office to enter the country must have medical insurance with comprehensive cover for coronavirus, including hospitalisation and the costs of self-isolation if required.
 
 
Internal Restrictions: 
*Moving around in Argentina: In Argentina, measures to control the spread of COVID-19 have been extended until at least midnight on 30 April. The whole of the country is now in a phase of mandatory social distancing. The restrictions imposed may vary between jurisdictions. In all parts of Argentina you must cover your nose and mouth with a face mask or other garment whenever you go out in public. 
Under mandatory social distancing, free movement is allowed within each jurisdiction as long as social distancing rules are adhered to. A night-time curfew from midnight to 6am has been introduced in all jurisdictions deemed high risk by the authorities. From 16 April 2021, the curfew in metropolitan area of Buenos Aires  starts at 8pm. You should make sure you understand and comply with the measures in place in the province/jurisdiction you are in. The use of public transport within jurisdictions remains restricted to essential workers and those in need of medical treatment.
Movement between jurisdictions is permitted, provided you meet the requirements of the specific jurisdiction/province you plan to visit. Requirements might include taking a COVID-19 PCR test, applying for a permit to circulate  or a summer certificate  amongst others. You must check the requirements and protocols in place in each jurisdiction/province here  and make sure you meet them ahead of travelling. You must also check and comply with the requirements of the province you are in and of each province you plan to travel through if travelling by land. You could be subject to a financial penalty if you do not abide by local regulations. 
All arrivals into the City of Buenos Aires must take a COVID-19 test within 72 hours of arriving. Online booking is required. Children under the age of 12 are exempted. Full details on this requirement including information on where you can take the test and how to book are available in the  City of Buenos Aires website .



",20210416,"Self-isolation at own accommodation- subject to testing.

All travellers to Argentina must take a COVID-19 test on arrival. If the test is negative you must self-isolate for 7 days in the place youre staying. You will have to take a further test on the 7th day of your self-isolation. You must pay for all tests. If the test is positive you will have to take a second test to determine the strain youre carrying and you and your close contacts will have to enter managed isolation. You will have to pay for all tests as well as for your stay at the managed quarantine facility. ","COVID-19 negative certification required for entering the country. 

All travellers to Argentina  must present a negative COVID-19 PCR test taken within 72 hours of travelling, unless you are: a crew member, transiting the country through an international airport for less than 24 hours; or have had coronavirus confirmed by a lab test within 90 days of your trip.",158
Armenia,ARM,44.938387,40.295005,24.02.2021,"Foreign travel advice, Gov.UK/ 
  OSAC Travel Advisories/ 
  US State Dept. COVID-19 Country Specific Information/
  Armenian Goverment/","International Restrictions: 
 *Restrictions in response to coronavirus: The ban on entry to foreign nationals was lifted on 12 August. Arrivals are subject to self-isolation and/or testing requirements . Face-masks must be worn in all public spaces. 
 *Testing / screening on arrival: You can now enter Armenia with a negative PCR test certificate issued a maximum of 72 hours prior to arrival. If you arrive without a certificate, and have no symptoms, you can pay for a PCR test at Zvartnots airport or the land border crossing from Georgia. You must then isolate until you receive a negative result. More information on the process for taking a PCR test, and a list of COVID-19 testing laboratories in Armenia, is available on the Zvartnots International Airport website.
 *Entry borders to Armenia: On 12 January 2021, Armenia reopened its land borders with Georgia and Iran to foreign nationals. However, both neighboring countries retain their own strict border controls in response to COVID-19. You should check Georgia and Iran entry/exit requirements before attempting to cross land borders to/from Armenia.
  
  
Internal Restrictions: 
*Travel in Armenia: The nationwide State of Emergency in response to COVID-19 ended on 11 September, though a number of anti-pandemic protocols around social distancing and wearing of face-masks remain in place.
You must wear a facemask in all public or private transport, and in all public spaces. Breaches of mask-wearing protocols are subject to a 10,000AMD fine.
You should follow the advice of the Armenian authorities on permitted activities.
*Accommodation: Hotels and private rental accommodations are able to operate in Armenia during the pandemic, though several hotels remain closed from the earlier suspension of international tourism. You should check with accommodation providers before travel. Hotels are subject to government protocols on social distancing and the wearing of facemasks.
*Public places and services: Shops, restaurants/cafes and manufacturing industries are currently able to operate in Armenia, with restrictions governing social distancing and the wearing of facemasks. Gatherings of up to 40 people are now permitted. Schools and universities have now reopened.
",20210224,"Self-isolation at own accommodation. 

Arrivals are subject to self-isolation and/or testing requirements. 
 
For UN staff: the individual who enters the territory of Armenia and show documents confirming a 72-hour negative COVID-19 test certificate, will be exempted from self-isolation, if upon examination no symptoms are revealed. 
","COVID-19 negative certification required for entering the country. 

You can now enter Armenia with a negative PCR test certificate issued a maximum of 72 hours prior to arrival. If you arrive without a certificate, and have no symptoms, you can pay for a PCR test at Zvartnots airport or the land border crossing from Georgia. You must then isolate until you receive a negative result.
",159
